19970303a,ILLUST·SCULPTURE展,일러스트 조각,exhibition,이종빈,조각가의 방,혼합재료,실물크기,1984~1985,https://neolook.com/archives/1997030301a.jpg
19970903a,여승열展 / YEOSEUNGYEOUL / 余承烈 / painting,아직도 낯설은 세상,solo exhibition,여승열,여관방Ⅱ,캔버스에 유채 혼합재료,53×45.5cm,1995,https://neolook.com/archives/1997090301a.jpg
19970903a,여승열展 / YEOSEUNGYEOUL / 余承烈 / painting,아직도 낯설은 세상,solo exhibition,여승열,여관방Ⅲ,캔버스에 혼합재료 유채,53×45.5cm,1995,https://neolook.com/archives/1997090304a.jpg
19970903a,여승열展 / YEOSEUNGYEOUL / 余承烈 / painting,아직도 낯설은 세상,solo exhibition,여승열,여관방Ⅳ,캔버스에 유채 혼합재료,61×73cm,1997,https://neolook.com/archives/1997090305a.jpg
19970903a,여승열展 / YEOSEUNGYEOUL / 余承烈 / painting,아직도 낯설은 세상,solo exhibition,여승열,모래시계,캔버스에 유채 혼합재료,116.8×91cm×2,1995,https://neolook.com/archives/1997090306a.jpg
19971124a,책임기획 / 강성원,표현할 수 없는 것의 표현,other,민정기,숲에서(1),석판,90×60cm,1986,https://neolook.com/archives/1997112401a.jpg
19971124a,책임기획 / 강성원,표현할 수 없는 것의 표현,other,민정기,양평의 가을,종이에 아크릴채색,64×42cm,1997,https://neolook.com/archives/1997112402a.jpg
19971124a,책임기획 / 강성원,표현할 수 없는 것의 표현,other,박흥순,그리움,캔버스에 유채,116.7×91cm,1997,https://neolook.com/archives/1997112403a.jpg
19971124a,책임기획 / 강성원,표현할 수 없는 것의 표현,other,박흥순,마라도 회상(回想),캔버스에 유채,91×116.7cm,1997,https://neolook.com/archives/1997112404a.jpg
19971124a,책임기획 / 강성원,표현할 수 없는 것의 표현,other,오형근,웃옷을 어깨에 건 아줌마,흑백인화,88×119cm,1997,https://neolook.com/archives/1997112405a.jpg
19971124a,책임기획 / 강성원,표현할 수 없는 것의 표현,other,오형근,호랑이 무늬 옷을 입은 아줌마,흑백인화,88×119cm,1997,https://neolook.com/archives/1997112406a.jpg
19971124a,책임기획 / 강성원,표현할 수 없는 것의 표현,other,이강일,가족,종이에 아크릴채색,123×77cm,1997,https://neolook.com/archives/1997112407a.jpg
19971124a,책임기획 / 강성원,표현할 수 없는 것의 표현,other,이강일,가족,종이에 아크릴채색,123×77cm,1995,https://neolook.com/archives/1997112408a.jpg
19971124a,책임기획 / 강성원,표현할 수 없는 것의 표현,other,최민화,20C 회화의 추억-No.6,종이에 유채,70×55cm,1997,https://neolook.com/archives/1997112410a.jpg
19971124a,책임기획 / 강성원,표현할 수 없는 것의 표현,other,최민화,20C 회화의 추억-No.7,종이에 유채,70×55cm,1997,https://neolook.com/archives/1997112411a.jpg
19971124a,책임기획 / 강성원,표현할 수 없는 것의 표현,other,김지원,자화상-경고,천에 유채,373×213cm,1994,https://neolook.com/archives/1997112412a.jpg
19971124a,책임기획 / 강성원,표현할 수 없는 것의 표현,other,김지원,경고,캔버스에 유채,60×50cm,1994,https://neolook.com/archives/1997112413a.jpg
19971124a,책임기획 / 강성원,표현할 수 없는 것의 표현,other,남궁문,기도하면 살려주시겠습니까?,캔버스에 유채 먹,116.8×91cm,1995,https://neolook.com/archives/1997112414a.jpg
19971124a,책임기획 / 강성원,표현할 수 없는 것의 표현,other,남궁문,꿈,한지에 채색,144×225cm,1997,https://neolook.com/archives/1997112415a.jpg
19971124a,책임기획 / 강성원,표현할 수 없는 것의 표현,other,박영숙,양육체·성-1/3,흑백인화,각 300×120cm,1997,https://neolook.com/archives/1997112416a.jpg
19971124a,책임기획 / 강성원,표현할 수 없는 것의 표현,other,심현희,누워서 TV보기,장지에 아크릴채색,134×169cm,1997,https://neolook.com/archives/1997112417a.jpg
19971124a,책임기획 / 강성원,표현할 수 없는 것의 표현,other,심현희,담배 피우는 내 남편,장지에 아크릴채색,169×134cm,1997,https://neolook.com/archives/1997112418a.jpg
19971124a,책임기획 / 강성원,표현할 수 없는 것의 표현,other,정원철,대석리 사람들,리놀륨 인각,180×120cm,1997,https://neolook.com/archives/1997112419a.jpg
19971124a,책임기획 / 강성원,표현할 수 없는 것의 표현,other,정원철,어머니와 도장-반복된 일상,장지에 도장찍기,210×150cm,1997,https://neolook.com/archives/1997112420a.jpg
