20000118a,"""똑같아 너_랑""",사람들은 작업실을 보고 말한다. ,other,박형주,만년초,캔버스에 아크릴채색,134×162cm,2000,https://neolook.com/archives/2000011801a.jpg
20000120a,아트선재센터 기획展,느림_Slowness of Speed,exhibition,박홍천,앨리스에게,일포크롬 프린트,100×100cm,1994,https://neolook.com/archives/2000012001a.jpg
20000125a,김석원展 / photography,성욕(libido)과 허구적 대상,solo exhibition,김석원,성욕과 허구적대상3,컬러인화,12.2×17.5cm,1998,http://www2.estop.co.kr/egallery/img/member/bigimage/mem000026_big3.jpg
20000214a,이준영展 / painting,작은 읊조림과 따스함의 이미지로 변주되는 생명의 울림,solo exhibition,이준영,三-치유,종이에 목탄,100×64cm,1998,https://neolook.com/archives/2000021401a.jpg
20000215a,이우근展 / painting,기억,solo exhibition,이우근,기억(Sofa),캔버스에 유채,145×200cm,1998,http://gallery.chugye.ac.kr/artists/web/chugye/uglee/3.jpg
20000217a,2000_0303 ▶ 2000_0328,최호철展 / CHOIHOCHUL / 崔皓喆 / painting ,other,최호철,을지로 순환선,종이에 혼합매체,87×216cm,2000,https://neolook.com/archives/2000021701a.jpg
20000223a,최은옥展 / painting,뜰에서_가지각색,solo exhibition,최은옥,뜰에서 가지각색,종이에 색연필,2000,부분,https://neolook.com/archives/2000022301a.jpg
20000302a,최호철展 / CHOIHOCHUL / 崔皓喆 / painting,homix,solo exhibition,최호철,와우산,종이에 혼합재료,74×105cm,1994,https://neolook.com/archives/2000030201a.jpg
20000326a,박용석展 / painting.installation,암사아파트,solo exhibition,박용석,풍경,합판에 페인트,쌈지스튜디오 옥상설치,2000,https://neolook.com/archives/2000032601a.jpg
20000329a,권오상_이소림 2인展,攪亂,exhibition,권오상,쌍둥이에 관한 420장의 진술서,사진인화 혼합재료,190×65×50cm,2000,https://neolook.com/archives/2000032901a.jpg
20000329a,권오상_이소림 2인展,攪亂,exhibition,이금당,자화상·에프터,사진,220×160cm,2000,https://neolook.com/archives/2000032902a.jpg
20000402a,신보경展 / painting,자신을 향한 움직임,solo exhibition,신보경,Yanus's face,주석판에 유채,182×122cm,1998,https://neolook.com/archives/2000040201a.jpg
20000402a,신보경展 / painting,자신을 향한 움직임,solo exhibition,신보경,질주,캔버스에 유채,122×81cm,2000,https://neolook.com/archives/2000040202a.jpg
20000402a,신보경展 / painting,자신을 향한 움직임,solo exhibition,신보경,畵中之餠－어느 화가의 작업실,캔버스에 유채,81×81cm,1999,https://neolook.com/archives/2000040204a.jpg
20000402a,신보경展 / painting,자신을 향한 움직임,solo exhibition,신보경,빠름과 망각,캔버스에 유채,90×220cm,2000,https://neolook.com/archives/2000040205a.jpg
20000402a,신보경展 / painting,자신을 향한 움직임,solo exhibition,신보경,안과 밖 그리고 그 사이의 창,주석판에 유채,117×81cm×3,1998,https://neolook.com/archives/2000040206a.jpg
20000402a,신보경展 / painting,자신을 향한 움직임,solo exhibition,신보경,자신을 향한 움직임,주석판에 유채,150×120cm×5,1999/2000,https://neolook.com/archives/2000040207a.jpg
20000407a,이흥덕展 / LEEHEUNGDUK / 李興德 / painting,사춘기,solo exhibition,이흥덕,사춘기,종이에 아크릴채색,92×72.7cm,1997,https://neolook.com/archives/2000040701a.jpg
20000412a,뷰파인더 캔버스展,감각과 정보*** 그리고 시각의 힘,exhibition,김두섭,통일,종이에 인쇄,1995,부분,https://neolook.com/archives/2000041201a.jpg
20000419a,이은정展 / painting,간판을 위한 결투,solo exhibition,이은정,간판을 위한 결투,캔버스에 유채,130.3×97cm,2000,https://neolook.com/archives/2000041901a.jpg
20000511a,원상철展 / painting,日像,solo exhibition,원상철,일상(나),혼합재료,53×45.5cm,2000,https://neolook.com/archives/2000051101a.jpg
20000513a,공성훈展 / KONGSUNGHUN / 孔成勳 / painting,[개***밤],solo exhibition,공성훈,개,캔버스에 유채,133.3×162.2cm,1998,https://neolook.com/archives/2000051301a.jpg
20000513a,공성훈展 / KONGSUNGHUN / 孔成勳 / painting,[개***밤],solo exhibition,공성훈,여자,캔버스에 유채,150×150cm,2000,https://neolook.com/archives/2000051302a.jpg
20000515a,2000_0517 ▶ 2000_0531,바늘구멍 pinhole images,other,안옥현,무제,컬러인화,25×25cm,2000,https://neolook.com/archives/2000051501a.jpg
20000522a,박은태展 / PARKEUNTAE / 朴銀泰 / painting,초라한 사람들,solo exhibition,박은태,노숙자(추워!추워!),장지에 아크릴채색,170×213cm,2000,https://neolook.com/archives/2000052201a.jpg
20000522a,박은태展 / PARKEUNTAE / 朴銀泰 / painting,초라한 사람들,solo exhibition,박은태,저무는 강변에서,유채,162×91cm,1995,https://neolook.com/archives/2000052202a.jpg
20000522a,박은태展 / PARKEUNTAE / 朴銀泰 / painting,초라한 사람들,solo exhibition,박은태,비맞는 여자,장지에 아크릴채색,140×171cm,1999,https://neolook.com/archives/2000052203a.jpg
20000522a,박은태展 / PARKEUNTAE / 朴銀泰 / painting,초라한 사람들,solo exhibition,박은태,뒤돌아 앉은 사람,장지에 아크릴채색,250×154cm,1996,https://neolook.com/archives/2000052204a.jpg
20000522a,박은태展 / PARKEUNTAE / 朴銀泰 / painting,초라한 사람들,solo exhibition,박은태,시화호 원주민의 삶,장지에 아크릴,691×49cm,1997,https://neolook.com/archives/2000052205a.jpg
20000522a,박은태展 / PARKEUNTAE / 朴銀泰 / painting,초라한 사람들,solo exhibition,박은태,창원공단에서1,장지에 아크릴채색,149×195cm,1997,https://neolook.com/archives/2000052206a.jpg
20000522a,박은태展 / PARKEUNTAE / 朴銀泰 / painting,초라한 사람들,solo exhibition,박은태,창원공단에서2,유채,153×196cm,1994,https://neolook.com/archives/2000052207a.jpg
20000522a,박은태展 / PARKEUNTAE / 朴銀泰 / painting,초라한 사람들,solo exhibition,박은태,출구,장지에 아크릴채색,140×140cm,1997,https://neolook.com/archives/2000052208a.jpg
20000522a,박은태展 / PARKEUNTAE / 朴銀泰 / painting,초라한 사람들,solo exhibition,박은태,휴식,장지에 아크릴채색,170×80cm,1997,https://neolook.com/archives/2000052209a.jpg
20000522a,박은태展 / PARKEUNTAE / 朴銀泰 / painting,초라한 사람들,solo exhibition,박은태,송월 할머니,장지에 아크릴채색,205×134cm,2000,https://neolook.com/archives/2000052210a.jpg
20000522a,박은태展 / PARKEUNTAE / 朴銀泰 / painting,초라한 사람들,solo exhibition,박은태,깡통 쌓는 사람,장지에 아크릴채색,202×80cm,1997,https://neolook.com/archives/2000052211a.jpg
20000522a,박은태展 / PARKEUNTAE / 朴銀泰 / painting,초라한 사람들,solo exhibition,박은태,광양제철준공기념,장지에 아크릴채색,203×128cm,1988(2000),https://neolook.com/archives/2000052212a.jpg
20000522a,박은태展 / PARKEUNTAE / 朴銀泰 / painting,초라한 사람들,solo exhibition,박은태,염원4(불멸의 나무),장지에 아크릴채색,195×111cm,1998,https://neolook.com/archives/2000052213a.jpg
20000522a,박은태展 / PARKEUNTAE / 朴銀泰 / painting,초라한 사람들,solo exhibition,박은태,고잔뜰에서 바라본 시화공단,장지에 아크릴채색,140×202cm,1999,https://neolook.com/archives/2000052214a.jpg
20000522a,박은태展 / PARKEUNTAE / 朴銀泰 / painting,초라한 사람들,solo exhibition,박은태,염원3,아크릴채색,160×327cm,1996,https://neolook.com/archives/2000052215a.jpg
20000522a,박은태展 / PARKEUNTAE / 朴銀泰 / painting,초라한 사람들,solo exhibition,박은태,기념촬영,요철지에 아크릴채색,95×136cm,1999,https://neolook.com/archives/2000052216a.jpg
20000529a,신옥주_박진화_박진호_김호득展,다가가다,exhibition,박진화,푸른 사람들 풍경,캔버스에 유채,162×130cm,1999,https://neolook.com/archives/2000052901a.jpg
20000529a,신옥주_박진화_박진호_김호득展,다가가다,exhibition,박진호,노이로제 Neurose,작가의 몸을 복사한 뒤 다시 사진촬영,180×120cm,1997,https://neolook.com/archives/2000052902a.jpg
20000529a,신옥주_박진화_박진호_김호득展,다가가다,exhibition,김호득,흔들림 문득,한지에 수묵,138×199cm,2000,https://neolook.com/archives/2000052904a.jpg
20000531a,GLASS WORK展,가시버시,exhibition,최범진,잠재의식,Laminated carverd polished,150×1050×300mm,1996,https://neolook.com/archives/2000053101a.jpg
20000531a,GLASS WORK展,가시버시,exhibition,안혜경,봄이 찾아온 겨울집2,Cast Lampworked Polished,410×310×110mm,2000,https://neolook.com/archives/2000053102a.jpg
20000613a,강용면展 / KANGYONGMYEON / 姜用冕 / sculpture,溫故知新,solo exhibition,강용면,온고지신-조왕,브론즈와 나무에 채색,144×133×133cm,2000,https://neolook.com/archives/2000061301a.jpg
20000626a,무서운 아이들展,…1990…2000…,exhibition,고낙범,Unidentified Red,캔버스에 유채,193.5×130cm,2000,https://neolook.com/archives/2000062602a.jpg
20000626a,무서운 아이들展,…1990…2000…,exhibition,안상수,한글주련,나무에 서각 도안사 향적당 설치,256×34cm,2000,https://neolook.com/archives/2000062604a.jpg
20000626a,무서운 아이들展,…1990…2000…,exhibition,이동기,아토마우스Atomaus,캔버스에 아크릴채색,22×16cm,2000,https://neolook.com/archives/2000062605a.jpg
20000626a,무서운 아이들展,…1990…2000…,exhibition,이용백,The Old Street,6 cahnnels interactive video sound,00:04:50,2000,https://neolook.com/archives/2000062607a.jpg
20000626a,무서운 아이들展,…1990…2000…,exhibition,이형주,바람이 물소리인가 물소리가 바람인가,단채널 비디오,설치장면,2000,https://neolook.com/archives/2000062608a.jpg
20000630a,최석운展 / CHOISUKUN / 崔錫云 / painting,제주도 그림들,solo exhibition,최석운,돼지들,캔버스에 아크릴채색,112×145.5cm,2000,https://neolook.com/archives/2000063001a.jpg
20000702a,조병철展 / painting,평화동에서,solo exhibition,조병철,노을지는 평화동,캔버스에 유채,230×400cm,1999,https://neolook.com/archives/2000070201a.jpg
20000702a,조병철展 / painting,평화동에서,solo exhibition,조병철,봄손님,캔버스에 유채,130.3×162.2cm,1991,https://neolook.com/archives/2000070202a.jpg
20000711a,박형진展 / PARKHYUNGJIN / 朴炯珍 / painting,베이비 파파 & 행복한 사과,solo exhibition,박형진,사과그리기,캔버스에 아크릴채색,182×227cm,2000,https://neolook.com/archives/2000071101a.jpg
20000711a,박형진展 / PARKHYUNGJIN / 朴炯珍 / painting,베이비 파파 & 행복한 사과,solo exhibition,박형진,사과그리기,캔버스에 아크릴채색,182×227cm,2000,https://neolook.com/archives/2000071103a.jpg
20000720a,책임기획_이필,불-임,other,최우람,RECYCLING,알미늄 기계장치,400×400×25cm,2000,https://neolook.com/archives/2000072002a.jpg
20000720a,책임기획_이필,불-임,other,조광현,치유의 숲,캔버스에 유채,232×191cm,2000,https://neolook.com/archives/2000072003a.jpg
20000727a,이원희展 / photography,생선이 있는 부엌,solo exhibition,이원희,생선이 있는 부엌,컬러인화,127×102cm,2000,https://neolook.com/archives/2000072701a.jpg
20000801a,박은진展 / PARKEUNJIN / 朴恩眞 / painting,invitation*common*day*yours***,solo exhibition,박은진,Casablanca,캔버스에 아크릴채색,51×43cm,2000,https://neolook.com/archives/2000080101a.jpg
20000801a,박은진展 / PARKEUNJIN / 朴恩眞 / painting,invitation*common*day*yours***,solo exhibition,박은진,Taxi driver,캔버스에 아크릴채색,51×43cm,2000,https://neolook.com/archives/2000080102a.jpg
20000801a,박은진展 / PARKEUNJIN / 朴恩眞 / painting,invitation*common*day*yours***,solo exhibition,박은진,Blade nunner,캔버스에 아크릴채색,51×43cm,2000,https://neolook.com/archives/2000080103a.jpg
20000801a,박은진展 / PARKEUNJIN / 朴恩眞 / painting,invitation*common*day*yours***,solo exhibition,박은진,Beat,캔버스에 아크릴채색,51×43cm,2000,https://neolook.com/archives/2000080104a.jpg
20000801a,박은진展 / PARKEUNJIN / 朴恩眞 / painting,invitation*common*day*yours***,solo exhibition,박은진,love letter,캔버스에 아크릴채색,110×150cm,2000,https://neolook.com/archives/2000080105a.jpg
20000802a,유석영 사진展 2000_0801 ▶ 2000_0814,강경의 초상과 풍경,exhibition,유석영,강경의 초상,흑백인화에 안료채색,1954,부분,https://neolook.com/archives/2000080201a.jpg
20000808a,2000_0626 ▶ 2000_0820,무서운 아이들,other,고낙범,PORTRAIT MUSEUM,캔버스에 유채,각각 227.3×181.8cm,1997 ● 세상에는 각양각색의 사람들이 있다. 미술사적 지식을 바탕으로 인물로부터 유추해낸 색채를 적극적으로 활용하는 고낙범의 인물화들은 인물을 묘사했다기 보다는 그 색에서 나오는 풍부한 감성으로 캔버스를 채우며 새로운 회화적 방법을 모색하고 있다.,https://neolook.com/archives/2000080802a.jpg
20000809a,홍경택展 / HONGKYOUNGTACK / 洪京澤 / painting,신전-神殿,solo exhibition,홍경택,서재1,캔버스에 유채,181.5×220.7cm,1997,https://neolook.com/archives/2000080901a.jpg
20000818a,인터넷은 새로운 예술을 잉태할 수 있을 것인가?,민예총 문예정보화팀 2차 포럼,other,연출 전승일,미메시스TV-에피소드1,컴퓨터 2D애니메이션,00:03:10,2000,https://neolook.com/archives/2000081801a.jpg
20000831a,다꽝 多狂展,값싼 자유,exhibition,윤석만,마징가,압축목탄,109×79cm,1999,https://neolook.com/archives/2000083101a.jpg
20000831a,다꽝 多狂展,값싼 자유,exhibition,임지연,정물,제과빵,150×150×74cm,2000,https://neolook.com/archives/2000083102a.jpg
20000831a,다꽝 多狂展,값싼 자유,exhibition,한영권,사고방식,실물 오브제,33.5×24.3×10cm,2000,https://neolook.com/archives/2000083103a.jpg
20000912a,정규석展 / painting,꽃과 나비,solo exhibition,정규석,話99,캔버스에 유채,41×53cm,1999,https://neolook.com/archives/2000091201a.jpg
