20010102a,미술작품에 드러난 점展,점占,exhibition,참여작가___김용철_노순석_신경철_홍성담_우창훈___이근범_이민주_조습_석영기_정수진___김윤경_홍지연_김성래_유비호___갤러리 사비나_이전___GALLERY SAVINA_Moved___서울 종로구 관훈동 30-3번지___Tel. +82.(0)2.736.4371___www.gallerysavina.com
20010102a,미술작품에 드러난 점展,점占,exhibition,이번 전시에서 우리 문화유산 중 하나인 '占' 문화를 주제로 점의 본질을 파악해 보고 아울러 미술작품도 감상하는 기회를 갖고자 한다. 우리 민족의 감성과 민족 정서*** 역사와 학문을 포괄하는 흥미로운 전시를 함으로써*** 한국 문화를 보다 쉽게 대중들에게 이해시키고 동시에 우리의 문화적 수준을 한 층 높이는데 그 목적이 있다. ● 불확실한 미래를 살아가는 인간들이기에 『오늘 이후의 나의 모습』*** 『미래의 나의 운명』*** 『내일의 나의 직업 운』등 알 수 없는 미지의 세계에 대한 호기심은 끝이 없다. 첨단 과학문명이 물결치는 환경 속에 '비과학적'*** '미신'이라는 비판에 부딪히면서도 점은 더욱 질긴 생명력을 나타내고 있다. 바로 미래에 대한 불안감*** 그 불안감을 어떻게든 극복하고픈 인간들의 본능적인 욕구 때문이다.『타임머신』을 타고 과거와 현재*** 미래를 마음대로 넘나드는 세상이 오지 않는 한*** 점의 의미는 누구도 소홀하게 다룰 수 없는 것도 바로 그런 이유에서다. ● 한국에서 점은 직간접적으로 정치*** 경제 그리고 사회 등에 영향을 주고 있다. 점은 사람들에게 인생상담부터 인사개입에까지 방대하게 영향을 끼치고 있다. 이런 한국사회에서의 점 문화를 순수미술작품으로 집중조명*** 우리사회에서 점이 차지하는 비중과 그 의미를 살펴보고 알 수 없는 내일에 대한 인간들의 본능적이고도 끝없는 호기심의 실체를 파헤치고자 한다. ● 국내작가 14명이 『점(占)』을 주제로 다양한 종류의 작품들로 전시한다. 전시되는 작품은 평면9점*** 입체4점*** 영상1점이다. 부대행사로서 작품설명회를 두 차례(오전 11시*** 오후 4시) 마련하고*** 이벤트(죽통운세)를 준비해서 관객들에게 증정한다. ■ 갤러리 사비나Vol.20010102a | 점占-미술작품에 드러난 점展
20010103a,김동원展 / video,상계동에서 평양으로,solo exhibition,김동원 감독과의 대화
20010103a,김동원展 / video,상계동에서 평양으로,solo exhibition,2000_0112_금요일_08:30pm_일주아트하우스 아트큐브___세미나_다큐멘터리와 현실
20010103a,김동원展 / video,상계동에서 평양으로,solo exhibition,2000_0117_수요일_07:30pm_일주아트하우스 아트큐브___일주아트___ILJU ART___서울 종로구 새문안로 68 흥국생명빌딩___Tel. +82.(0)2.2002.7777___www.iljufoundation.org
20010103a,김동원展 / video,상계동에서 평양으로,solo exhibition,80년대 중반 한국에서 최초로 비제도권 다큐(Documentary)를 시작했고 이후 줄곧 사실주의적 표현미와 시대적 인간정신의 탐구라는 관심을 두 축으로 한 영상미학으로 우리 사회의 아픔과 상처를 진단하고 치유하는 외곬의 길을 걷고 있는 김동원 감독이 15년간 제작한 작품 10여편을 한데 모았습니다. ● 이처럼 독립영화감독의 전작전(全作展)이 미디어아트센터에서 열리게 된 점도 아주 이례적이란 평가를 얻고 있습니다. 이는 한 감독의 작품세계를 통해 한국 독립 다큐의 성과와 가능성을 중간 점검하는 의미를 존중해서입니다.이번 행사는 전시*** 상영*** 부대행사가 어우러져 김감독과 다큐멘터리 영화의 세계를 다원적으로 표현합니다. ● 미디어갤러리에서는 김감독이 현재 제작중인 '송환'을 전시합니다. 다큐멘터리 영화 제작의 과정과 그 속에 녹아있는 작가의 고민과 탐험이 드러나도록 제작중인 작품의 편린들을 과장없이 드러내는 전시 형식을 통해 다큐멘터리와 표현의 문제를 보다 친근하게 접근할 수 있는 점이 전시 프로그램의 특징입니다. 작품은 비전향 장기수들을 찾아 인터뷰하는 내용을 담고 있습니다. ● 아트큐브의 상영 프로그램은 김감독이 제작한 작품 전체를 상영합니다. 상계동 철거 문제를 다루며 한국 실험 다큐의 토대를 넓혔던 '상계동 올림픽'*** '명성*** 그 6일의 기록'*** 아이들을 통해 빈민을 시/공간적으로*** 문화적으로 들여다 본 '아이들과 미래'*** 정신지체장애자와 그 가족을 위한 '엄마*** 아빠할 수 있어'*** 공중파인 KBS를 통해 방영되기도 했던 '길 다시 이어야 한다'*** 아프리카의 기아*** 난민을 다룬 '세계의 가난한 사람들' 등 상영작은 세상의 아픔에 대한 작가의 폭넓은 관심과 애정*** 그리고 다큐 표현의 힘찬 아름다움을 잘 보여줍니다. ● 부대행사로는 '다큐멘터리와 현실'이라는 주제로 다큐멘터리의 사회성과 윤리성*** 관계성들에 대한 다큐멘터리 작가들의 임무와 역할*** 그리고 김동원 감독의 작품세계 내에서의 다큐멘터리와 현실의 관계를 분석하는 세미나*** 그리고 '작가와의 대화'가 함께 진행됩니다. ■ 일주아트하우스Vol.20010103a | 김동원展 / video
20010104a,홍성민展 / painting,대나무와 매화 원형의 재발견,solo exhibition,한국문화예술위원회 인사미술공간
20010104a,홍성민展 / painting,대나무와 매화 원형의 재발견,solo exhibition,Insa Art Space of the Arts Council Korea___서울 종로구 관훈동 100-5___Tel. +82.(0)2.760.4722___www.insaartspace.or.kr
20010104a,홍성민展 / painting,대나무와 매화 원형의 재발견,solo exhibition,대학시절부터 남도문인화의 명가인 '연진회'에서 전통화 수업을 받았으며 꾸준히 전통회화에 대한 모색을 이어온 홍성민이 이번 전시에서 보여줄 그림은 대나무를 비롯하여 사군자에서 그 소재를 가지고 왔다. ● 그러나 그가 그린 대나무는 사군자의 대나무가 아니다. 여백 또한 형상의 흐름을 따라 담묵과 흰색의 무수한 세선이 서로 어우르며 화면을 빼곡하게 채우고 있다. 수직의 대나무와 함께 어느 이파리는 웃는 듯 날렵한 선으로 때로는 칼날처럼 섬뜩한 파선으로 아예 이파리 하나 없이 무거운 묵선 만이 화면을 메꾸기도 한다. ● 그의 매화 또한 파격적이다. 한겨울을 나면서 봄이 멀지 않았음을 예감하게 하는 매화의 형상은 밑동의 등걸로부터 내면으로 흐르는 생명의 변주를 담는다. 생명의 힘은 무덤과 입석(立石)의 형상에서 비롯해 바야흐로 땅과 우주의 기운을 호흡하고 담아내기 위해 준비하고 있는 듯이 보인다. ● 홍성민의 대나무와 매화의 형상을 쫒다보면 비로소 사군자의 다양성이 인간에게 얼마나 밀접해있는가를 발견하게 된다. 그래서 그의 작업은 사군자를 그린다기보다 그 속에 들어있는 원형을 재발견하여 형상화하는 것이다. ● 그것은 바로 당대적 인간 삶에 대한 이해로 이어진다. 동아시아적 예술양식으로서 전통적인 사군자가 수신과 치국의 군자적 가치현실이라는 사대부의 욕구를 충족한다면 홍성민은 물화(物化)되어 가는 대중문화와 자본주의의 불균형으로 지배되는 당대적 현실로부터 움트고 있는 역동적 힘과 정화로서 그림을 풀어내고 있는 것이다. ● 홍성민은 1960년 전남 신안태생으로 전남대 사범대학미술교육과를 졸업하였다. 대학시절부터 '연진회'와 아산(雅山) 조방원 문화에서 전통화를 익히는 한편 '광주자유미술인협회' 와 미술패 '토말'*** '광주시각매체연구회' 등에서 활동하며 민중미술운동에 앞장서기도 하였다. ■ 인사미술공간Vol.20010104a | 홍성민展 / painting
20010105a,오세영展 / painting,심성의 기호,solo exhibition,서남미술전시관(폐관)
