20090102d,the Expression of the Mind,현대미술의 풍경:마음의 표정,other,허윤희,꽃 Flower,종이에 목탄,72×102cm,2007,https://neolook.com/archives/2009010201d.jpg
20090102d,the Expression of the Mind,현대미술의 풍경:마음의 표정,other,김시연,Barricade,디지털 프린트,150×200cm,2008,https://neolook.com/archives/2009010202d.jpg
20090102d,the Expression of the Mind,현대미술의 풍경:마음의 표정,other,김윤수,고요하다는 것의 깊이,비닐쌓기,117×154×80cm,2003,https://neolook.com/archives/2009010203d.jpg
20090102d,the Expression of the Mind,현대미술의 풍경:마음의 표정,other,서상익,바닐라스카이콩콩,캔버스에 유채,130.3×80.3cm,2008,https://neolook.com/archives/2009010204d.jpg
20090102d,the Expression of the Mind,현대미술의 풍경:마음의 표정,other,원성원,Tomorrow-사과엄마와 빙어아빠 그리고 얼음딸,디지털 프린트,120×200cm,2008,https://neolook.com/archives/2009010205d.jpg
20090102d,the Expression of the Mind,현대미술의 풍경:마음의 표정,other,이진주,분실물,장지에 채색,115×130cm,2008,https://neolook.com/archives/2009010206d.jpg
20090102e,2009_0107 ▶ 2009_0113,진시영展 / JINSIYON / 晋始瑩 / new media,other,진시영,Wave,LED 설치 컨트롤러,56×192×49cm,2008,https://neolook.com/archives/2009010201e.jpg
20090102e,2009_0107 ▶ 2009_0113,진시영展 / JINSIYON / 晋始瑩 / new media,other,진시영,Scooter Girl,디지털 인화,190×150cm,2008,https://neolook.com/archives/2009010204e.jpg
20090102e,2009_0107 ▶ 2009_0113,진시영展 / JINSIYON / 晋始瑩 / new media,other,진시영,Scooter Girl,디지털 인화,180×200cm,2008,https://neolook.com/archives/2009010205e.jpg
20090102e,2009_0107 ▶ 2009_0113,진시영展 / JINSIYON / 晋始瑩 / new media,other,진시영,TIDE,6채널 영상설치,가변크기,2008,https://neolook.com/archives/2009010206e.jpg
20090102f,신조展 / SINZOW / しんぞう / painting,SINZOW,solo exhibition,Sinzow,Tochigi,종이에 아크릴채색,53×45.5cm,2008,https://neolook.com/archives/2009010201f.jpg
20090102f,신조展 / SINZOW / しんぞう / painting,SINZOW,solo exhibition,Sinzow,newspaper,종이에 아크릴채색,36×51cm,2008,https://neolook.com/archives/2009010203f.jpg
20090102f,신조展 / SINZOW / しんぞう / painting,SINZOW,solo exhibition,Sinzow,Dinner,종이에 아크릴채색,60.5×72.5cm,2008,https://neolook.com/archives/2009010205f.jpg
20090102f,신조展 / SINZOW / しんぞう / painting,SINZOW,solo exhibition,Sinzow,kawara,종이에 아크릴채색,40×55cm,2008,https://neolook.com/archives/2009010207f.jpg
20090103b,김병주展 / KIMBYUNGJOO / 金昞周 / sculpture.installation,Ambiguous Wall,solo exhibition,김병주,Ambiguous Wall 3,스테인레스 스틸 우레탄 페인트,43×70×45cm,2008,https://neolook.com/archives/2009010301b.jpg
20090103b,김병주展 / KIMBYUNGJOO / 金昞周 / sculpture.installation,Ambiguous Wall,solo exhibition,김병주,Ambiguous Wall,스테인레스 스틸 우레탄 페인트,가변크기,2008,https://neolook.com/archives/2009010302b.jpg
20090103b,김병주展 / KIMBYUNGJOO / 金昞周 / sculpture.installation,Ambiguous Wall,solo exhibition,김병주,Ambiguous Wall,스테인레스 스틸 우레탄 페인트,가변크기,2008,https://neolook.com/archives/2009010303b.jpg
20090103b,김병주展 / KIMBYUNGJOO / 金昞周 / sculpture.installation,Ambiguous Wall,solo exhibition,김병주,Ambiguous Wall,스테인레스 스틸 우레탄 페인트,가변크기,2008,https://neolook.com/archives/2009010304b.jpg
20090103b,김병주展 / KIMBYUNGJOO / 金昞周 / sculpture.installation,Ambiguous Wall,solo exhibition,김병주,Ambiguous Wall,스테인레스 스틸 우레탄 페인트,가변크기,2008,https://neolook.com/archives/2009010305b.jpg
20090103b,김병주展 / KIMBYUNGJOO / 金昞周 / sculpture.installation,Ambiguous Wall,solo exhibition,김병주,Ambiguous Wall,스테인레스 스틸 우레탄 페인트,가변크기,2008,https://neolook.com/archives/2009010306b.jpg
20090103c,2009 현대미술국제교류展,조우: 더블린*** 리스본*** 홍콩 그리고 서울,exhibition,Wilson Shieh,여왕,백색 비단에 먹과 과슈,90×75cm,2007,https://neolook.com/archives/2009010305c.jpg
20090103c,2009 현대미술국제교류展,조우: 더블린*** 리스본*** 홍콩 그리고 서울,exhibition,Anthony Haughey,엽총탄 분쟁의 영토 시리즈에서,컬러 람다크롬 프린트,123×121cm,2006,https://neolook.com/archives/2009010306c.jpg
20090103d,박소하다展 / BAKSOHADA / bookart,기억을 파는 가게,exhibition,박소하다,기억을 파는 가게,혼합재료,5×9.5×4cm,2008,https://neolook.com/archives/2009010304d.jpg
20090103d,박소하다展 / BAKSOHADA / bookart,기억을 파는 가게,exhibition,박소하다,기억을 파는 가게,혼합재료,5×9.5×4cm,2008,https://neolook.com/archives/2009010305d.jpg
20090103f,2009_0103 ▶ 2009_0113,임남진展 / LIMNAMJIN / 任男珍 / painting,other,임남진,섬-몽환,한지에 채색,57×114cm,2008,https://neolook.com/archives/2009010301f.jpg
20090103f,2009_0103 ▶ 2009_0113,임남진展 / LIMNAMJIN / 任男珍 / painting,other,임남진,섬-불면,한지에 채색,90×60cm,2008,https://neolook.com/archives/2009010302f.jpg
20090103f,2009_0103 ▶ 2009_0113,임남진展 / LIMNAMJIN / 任男珍 / painting,other,임남진,섬-月亮代表俄的心,한지에 채색,80×52cm,2008,https://neolook.com/archives/2009010303f.jpg
20090103f,2009_0103 ▶ 2009_0113,임남진展 / LIMNAMJIN / 任男珍 / painting,other,임남진,섬-cryingroomⅠ,한지에 채색,69×100cm,2008,https://neolook.com/archives/2009010304f.jpg
20090103f,2009_0103 ▶ 2009_0113,임남진展 / LIMNAMJIN / 任男珍 / painting,other,임남진,섬-cryingroomⅡ,한지에 채색,69×100cm,2008,https://neolook.com/archives/2009010305f.jpg
20090103f,2009_0103 ▶ 2009_0113,임남진展 / LIMNAMJIN / 任男珍 / painting,other,임남진,섬-혼자놀기,감물염색비단에 채색,52×80cm,2008,https://neolook.com/archives/2009010306f.jpg
20090103f,2009_0103 ▶ 2009_0113,임남진展 / LIMNAMJIN / 任男珍 / painting,other,임남진,畵友,감물염색비단에 채색,92×61cm,2008,https://neolook.com/archives/2009010307f.jpg
20090103g,이배경展 / LEEBEIKYUNG / 李培炅 / interactive media installation,Repeated Freedom,solo exhibition,이배경,Repeated Freedom #2,인터랙티브 비디오&오디오 설치,230×150×150cm,2009,https://neolook.com/archives/2009010302g.jpg
20090103g,이배경展 / LEEBEIKYUNG / 李培炅 / interactive media installation,Repeated Freedom,solo exhibition,이배경,Episode #2,인터랙티브 비디오&오디오 설치,가변크기,2009,https://neolook.com/archives/2009010305g.jpg
20090103g,이배경展 / LEEBEIKYUNG / 李培炅 / interactive media installation,Repeated Freedom,solo exhibition,이배경,Insel,인터랙티브 비디오 설치,가변크기,2009,https://neolook.com/archives/2009010307g.jpg
20090103h,신동원展 / SHINDONGWON / 申東媛 / ceramic.installation,이정섭과 친구들 part 1 신동원,solo exhibition,신동원,composition,압축합판과 자기에 채색,63×43cm,2007,https://neolook.com/archives/2009010301h.jpg
20090103h,신동원展 / SHINDONGWON / 申東媛 / ceramic.installation,이정섭과 친구들 part 1 신동원,solo exhibition,신동원,composition,압축합판과 자기에 채색,6×48cm,2007,https://neolook.com/archives/2009010302h.jpg
20090103h,신동원展 / SHINDONGWON / 申東媛 / ceramic.installation,이정섭과 친구들 part 1 신동원,solo exhibition,신동원,a moment,박달나무 합판 자기,72×73×20cm,2007,https://neolook.com/archives/2009010303h.jpg
20090103h,신동원展 / SHINDONGWON / 申東媛 / ceramic.installation,이정섭과 친구들 part 1 신동원,solo exhibition,신동원,a tea bowl,박달나무 합판 자기,30×23cm,2007,https://neolook.com/archives/2009010305h.jpg
20090104a,박대조展 / PARKDAECHO / 朴大祚 / painting,THE HEART OF CHILD-DOLL SERIES,solo exhibition,박대조,Beginning & ending,trancyparency in light box color chang adaptation,153×115cm,2008,https://neolook.com/archives/2009010401a.jpg
20090104a,박대조展 / PARKDAECHO / 朴大祚 / painting,THE HEART OF CHILD-DOLL SERIES,solo exhibition,박대조,A maternal instinct,trancyparency in light box color chang adaptation,144×115cm,2008,https://neolook.com/archives/2009010402a.jpg
20090104a,박대조展 / PARKDAECHO / 朴大祚 / painting,THE HEART OF CHILD-DOLL SERIES,solo exhibition,박대조,Greed,trancyparency in light box color chang adaptation,144×115cm,2008,https://neolook.com/archives/2009010403a.jpg
20090104a,박대조展 / PARKDAECHO / 朴大祚 / painting,THE HEART OF CHILD-DOLL SERIES,solo exhibition,박대조,Greed,trancyparency in light box color chang adaptation,144×115cm,2008,https://neolook.com/archives/2009010404a.jpg
20090104a,박대조展 / PARKDAECHO / 朴大祚 / painting,THE HEART OF CHILD-DOLL SERIES,solo exhibition,박대조,Purity,trancyparency in light box color chang adaptation,151×115cm,2008,https://neolook.com/archives/2009010405a.jpg
20090104a,박대조展 / PARKDAECHO / 朴大祚 / painting,THE HEART OF CHILD-DOLL SERIES,solo exhibition,박대조,stubbornness,trancyparency in light box color chang adaptation,152.4×115cm,2008,https://neolook.com/archives/2009010406a.jpg
20090104a,박대조展 / PARKDAECHO / 朴大祚 / painting,THE HEART OF CHILD-DOLL SERIES,solo exhibition,박대조,The unknown world,trancyparency in light box color chang adaptation,153.4×115cm,2008,https://neolook.com/archives/2009010407a.jpg
20090104b,노진아展 / ROHJINAH / 盧眞娥 / interactive installation.sculpture,미생물_未生物,solo exhibition,노진아,무제,레진에 유채,160×100×15cm,2008,https://neolook.com/archives/2009010406b.jpg
20090104c,2009_0102 ▶ 2009_0107,ART GANG_아르갱 출범展,other,서평주,The E T's,신문에 아크릴패색,55×39cm,2008,https://neolook.com/archives/2009010402c.jpg
20090104c,2009_0102 ▶ 2009_0107,ART GANG_아르갱 출범展,other,이종담,일상속의 예술,혼합재료,가변설치,2008,https://neolook.com/archives/2009010403c.jpg
20090104c,2009_0102 ▶ 2009_0107,ART GANG_아르갱 출범展,other,김종흠,찰나,화선지에 수묵,130×324cm,2008,https://neolook.com/archives/2009010404c.jpg
20090104c,2009_0102 ▶ 2009_0107,ART GANG_아르갱 출범展,other,김지훈,굿바이 오드리,캔버스에 페인트탄으로 슈팅 페인팅,162×130cm,2008,https://neolook.com/archives/2009010405c.jpg
20090104c,2009_0102 ▶ 2009_0107,ART GANG_아르갱 출범展,other,김호빈,별들의 노래,혼합재료,40×40×40cm,2008,https://neolook.com/archives/2009010406c.jpg
20090104c,2009_0102 ▶ 2009_0107,ART GANG_아르갱 출범展,other,이영식,난 너무 예뻐요,캔버스에 유채,53×45cm,2008,https://neolook.com/archives/2009010407c.jpg
20090104c,2009_0102 ▶ 2009_0107,ART GANG_아르갱 출범展,other,정안용,백연,혼합재료,80×50×40cm,2008,https://neolook.com/archives/2009010408c.jpg
