20110102a,김범준展 / KIMBEONJUN / 金範埈 / mixed media,with nothing,solo exhibition,김범준,무제,현수막 실사출력,140×90cm,2011,https://neolook.com/archives/2011010204a.jpg
20110102b,BELT2011展,벨트2011,exhibition,문제호,그림자에 머물다,에칭 애쿼틴트,60×90cm,2007,https://neolook.com/archives/2011010202b.jpg
20110102b,BELT2011展,벨트2011,exhibition,이승아,변명,리노컷,60×60cm,2009,https://neolook.com/archives/2011010203b.jpg
20110102b,BELT2011展,벨트2011,exhibition,이승종,The Truth of Socrates,메조틴트,60×90cm,2010,https://neolook.com/archives/2011010204b.jpg
20110102b,BELT2011展,벨트2011,exhibition,이지선,Paper Bag,에칭,50×50cm,2009,https://neolook.com/archives/2011010205b.jpg
20110102b,BELT2011展,벨트2011,exhibition,손해진,delight,석판화,205×107cm,2010,https://neolook.com/archives/2011010206b.jpg
20110103b,박석신展 / PARKSEUKSHIN / 朴錫信 / painting.installation,시간을 엮다,solo exhibition,박석신,시간엮기-꿈꾸는 시간,한지에 천연안료,210×57cm,2010,https://neolook.com/archives/2011010301b.jpg
20110103b,박석신展 / PARKSEUKSHIN / 朴錫信 / painting.installation,시간을 엮다,solo exhibition,박석신,시간엮기-날기연습,한지에 천연안료,220×70cm,2010,https://neolook.com/archives/2011010302b.jpg
20110103b,박석신展 / PARKSEUKSHIN / 朴錫信 / painting.installation,시간을 엮다,solo exhibition,박석신,시간엮기-몸짓,한지에 흙 숯,220×70cm,2010,https://neolook.com/archives/2011010303b.jpg
20110103b,박석신展 / PARKSEUKSHIN / 朴錫信 / painting.installation,시간을 엮다,solo exhibition,박석신,시간엮기-신화속 시간,한지에 천연안료,220×70cm,2010,https://neolook.com/archives/2011010304b.jpg
20110103b,박석신展 / PARKSEUKSHIN / 朴錫信 / painting.installation,시간을 엮다,solo exhibition,박석신,시간엮기-신화속 풍경,한지에 흙 아크릴채색,220×70cm,2010,https://neolook.com/archives/2011010305b.jpg
20110103b,박석신展 / PARKSEUKSHIN / 朴錫信 / painting.installation,시간을 엮다,solo exhibition,박석신,시간엮기-윤회,한지에 흙 아크릴채색,170×47cm,2010,https://neolook.com/archives/2011010306b.jpg
20110103b,박석신展 / PARKSEUKSHIN / 朴錫信 / painting.installation,시간을 엮다,solo exhibition,박석신,시간엮기-퇴적,한지에 흙 아크릴채색,230×90cm,2010,https://neolook.com/archives/2011010307b.jpg
20110103c,박돈展 / BHAKDORN / 朴敦 / painting,태초를 열다,solo exhibition,박돈,해돋는 천지,캔버스에 유채,130.3×162.2cm,2010,https://neolook.com/archives/2011010301c.jpg
20110103c,박돈展 / BHAKDORN / 朴敦 / painting,태초를 열다,solo exhibition,박돈,숲의 생리,캔버스에 유채,130.3×97cm,1960,https://neolook.com/archives/2011010302c.jpg
20110103c,박돈展 / BHAKDORN / 朴敦 / painting,태초를 열다,solo exhibition,박돈,풍요의 강언덕,캔버스에 유채,112.1×145.5cm,2000,https://neolook.com/archives/2011010304c.jpg
20110103c,박돈展 / BHAKDORN / 朴敦 / painting,태초를 열다,solo exhibition,박돈,해 돋는 형제봉,캔버스에 유채,34.8×27.3cm,2001,https://neolook.com/archives/2011010305c.jpg
20110103d,김현정_윤세열_이시현展,우리들의 풍경,exhibition,김현정,새벽 5시55분 5;55a.m,캔버스에 유채,72.4×99.4cm,2008,https://neolook.com/archives/2011010302d.jpg
20110103d,김현정_윤세열_이시현展,우리들의 풍경,exhibition,김현정,하얀 단어들 White Words,캔버스에 유채,116.8×80cm,2010,https://neolook.com/archives/2011010307d.jpg
20110103d,김현정_윤세열_이시현展,우리들의 풍경,exhibition,윤세열,山水-재개발된 도시풍경,비단에 먹,100×180cm,2009,https://neolook.com/archives/2011010303d.jpg
20110103d,김현정_윤세열_이시현展,우리들의 풍경,exhibition,윤세열,山水-재개발된 도시풍경,비단에 먹,52×180cm,2009,https://neolook.com/archives/2011010304d.jpg
20110103d,김현정_윤세열_이시현展,우리들의 풍경,exhibition,이시현,에스컬레이터,광목에 유채,72.7×50cm,2007,https://neolook.com/archives/2011010305d.jpg
20110103d,김현정_윤세열_이시현展,우리들의 풍경,exhibition,이시현,주차장,광목에 유채,60.6×90.9cm,2007,https://neolook.com/archives/2011010306d.jpg
20110103e,2011_0115 ▶ 2011_0213 / 월요일*** 공휴일 휴관,임태규展 / YIMTAEKYU / 任泰奎 / painting,other,임태규,marginal men in erehwon #2,한지에 먹 채색,173×138cm,2010,https://neolook.com/archives/2011010301e.jpg
20110103e,2011_0115 ▶ 2011_0213 / 월요일*** 공휴일 휴관,임태규展 / YIMTAEKYU / 任泰奎 / painting,other,임태규,fly away home s-type,합성수지 한지 먹 채색,75×75×67cm,2010,https://neolook.com/archives/2011010302e.jpg
20110103e,2011_0115 ▶ 2011_0213 / 월요일*** 공휴일 휴관,임태규展 / YIMTAEKYU / 任泰奎 / painting,other,임태규,erehwon #7,한지에 먹 채색,276×356cm,2010,https://neolook.com/archives/2011010303e.jpg
20110103e,2011_0115 ▶ 2011_0213 / 월요일*** 공휴일 휴관,임태규展 / YIMTAEKYU / 任泰奎 / painting,other,임태규,fly away home #27,한지에 먹 채색,138×173cm,2010,https://neolook.com/archives/2011010304e.jpg
20110103e,2011_0115 ▶ 2011_0213 / 월요일*** 공휴일 휴관,임태규展 / YIMTAEKYU / 任泰奎 / painting,other,임태규,marginal men in erehwon,한지에 먹 채색,173×138cm,2010,https://neolook.com/archives/2011010306e.jpg
20110103e,2011_0115 ▶ 2011_0213 / 월요일*** 공휴일 휴관,임태규展 / YIMTAEKYU / 任泰奎 / painting,other,임태규,day dreaming #3,한지에 먹 채색,173×138cm,2010,https://neolook.com/archives/2011010307e.jpg
20110103f,도로시 엠 윤展  / DOROTHY M. YOON / photography,Rococo No. 33B,solo exhibition,도로시 엠 윤,Won Gang,디지털 C 프린트 디아섹,160×112cm,2011,https://neolook.com/archives/2011010301f.jpg
20110103f,도로시 엠 윤展  / DOROTHY M. YOON / photography,Rococo No. 33B,solo exhibition,도로시 엠 윤,Si Yark,디지털 C 프린트 디아섹,90×60cm,2011,https://neolook.com/archives/2011010302f.jpg
20110103f,도로시 엠 윤展  / DOROTHY M. YOON / photography,Rococo No. 33B,solo exhibition,도로시 엠 윤,Yee Bee,디지털 C 프린트 디아섹,150×100cm,2011,https://neolook.com/archives/2011010303f.jpg
20110103f,도로시 엠 윤展  / DOROTHY M. YOON / photography,Rococo No. 33B,solo exhibition,도로시 엠 윤,Bea Kee,디지털 C 프린트 디아섹,100×150cm,2011,https://neolook.com/archives/2011010304f.jpg
20110103f,도로시 엠 윤展  / DOROTHY M. YOON / photography,Rococo No. 33B,solo exhibition,도로시 엠 윤,Yeon Hwa,디지털 C 프린트 디아섹,90×60cm,2011,https://neolook.com/archives/2011010305f.jpg
20110103f,도로시 엠 윤展  / DOROTHY M. YOON / photography,Rococo No. 33B,solo exhibition,도로시 엠 윤,Ma Rang Bu,디지털 C 프린트 디아섹,150×100cm,2011,https://neolook.com/archives/2011010306f.jpg
20110103f,도로시 엠 윤展  / DOROTHY M. YOON / photography,Rococo No. 33B,solo exhibition,도로시 엠 윤,Ji Ryeon,디지털 C 프린트 디아섹,90×60cm,2011,https://neolook.com/archives/2011010307f.jpg
20110103g,2010년 마을미술 프로젝트,동동동_同動洞,other,동동동,함께 움직이는 마을 2010,동동동 탁구대,주민 작가 공동작업,2010,https://neolook.com/archives/2011010301g.jpg
20110103g,2010년 마을미술 프로젝트,동동동_同動洞,other,강지호,초토화,슬레이트 덮개에 아크릴채색,150×500cm,2010,https://neolook.com/archives/2011010302g.jpg
20110103g,2010년 마을미술 프로젝트,동동동_同動洞,other,권용주,샹들리에 '고맙습니다',아크릴 조명,180×70×70cm,2010,https://neolook.com/archives/2011010303g.jpg
20110103g,2010년 마을미술 프로젝트,동동동_同動洞,other,권용주,흔들의자,폐가구 건축용 목재,150×90×60cm,2010,https://neolook.com/archives/2011010304g.jpg
20110103g,2010년 마을미술 프로젝트,동동동_同動洞,other,김상진,두개의 서랍,폐가구,43×100×95cm,2010,https://neolook.com/archives/2011010305g.jpg
20110103g,2010년 마을미술 프로젝트,동동동_同動洞,other,남상수,family,마분지,22.5×17×25.5cm,2010,https://neolook.com/archives/2011010306g.jpg
20110103h,강동호_여준환展,POPping DAY-1st,exhibition,강동호,06,캔버스에 아크릴채색,160×295cm,2010,https://neolook.com/archives/2011010302h.jpg
20110103h,강동호_여준환展,POPping DAY-1st,exhibition,강동호,11,캔버스에 아크릴채색, 160×290cm,2010,https://neolook.com/archives/2011010303h.jpg
20110103h,강동호_여준환展,POPping DAY-1st,exhibition,강동호,09,캔버스에 아크릴채색,160×500cm,2010,https://neolook.com/archives/2011010304h.jpg
20110103h,강동호_여준환展,POPping DAY-1st,exhibition,여준환,세이렌의 노래,캔버스에 유채,145.5×112.1cm,2010,https://neolook.com/archives/2011010305h.jpg
20110103h,강동호_여준환展,POPping DAY-1st,exhibition,여준환,Oedipus and sphinx,캔버스에 유채,91×65.2cm,2010,https://neolook.com/archives/2011010306h.jpg
20110103h,강동호_여준환展,POPping DAY-1st,exhibition,여준환,지옥의 문을 지키는 케로베로스,캔버스에 유채,91×65.2cm,2010,https://neolook.com/archives/2011010307h.jpg
20110103i,김근중 _정일展,순수풍경-중견작가의 힘 Ⅲ,exhibition,김근중,Natural-Being(꽃세상原本自然圖)10-9,캔버스에 아크릴채색,91×73cm,2010,https://neolook.com/archives/2011010302i.jpg
20110103i,김근중 _정일展,순수풍경-중견작가의 힘 Ⅲ,exhibition,김근중,Natural-Being(꽃세상原本自然圖)8-51,캔버스에 아크릴채색,40×40cm,2008,https://neolook.com/archives/2011010303i.jpg
20110103i,김근중 _정일展,순수풍경-중견작가의 힘 Ⅲ,exhibition,김근중,Natural-Being(꽃세상原本自然圖)6-40,캔버스에 아크릴채색,60×120cm,2006,https://neolook.com/archives/2011010304i.jpg
20110103i,김근중 _정일展,순수풍경-중견작가의 힘 Ⅲ,exhibition,정일,promenade,실크스크린,55×43cm,2006,https://neolook.com/archives/2011010306i.jpg
20110103i,김근중 _정일展,순수풍경-중견작가의 힘 Ⅲ,exhibition,정일,동행-봄바람,캔버스에 유채,41×73cm,2010,https://neolook.com/archives/2011010307i.jpg
20110103i,김근중 _정일展,순수풍경-중견작가의 힘 Ⅲ,exhibition,정일,로멘틱가든,캔버스에 유채,97×130cm,2010,https://neolook.com/archives/2011010308i.jpg
20110103i,김근중 _정일展,순수풍경-중견작가의 힘 Ⅲ,exhibition,정일,옹달샘,캔버스에 유채,65×53cm,2010,https://neolook.com/archives/2011010309i.jpg
20110103i,김근중 _정일展,순수풍경-중견작가의 힘 Ⅲ,exhibition,정일,a small spring,실크스크린,37×47cm,2009,https://neolook.com/archives/2011010310i.jpg
20110104b,예술이밥먹여주나요 세번째 단체展,나*** 여기있어요,exhibition,손세임,사춘기5,종이에 아크릴채색 먹 파스텔,200×120cm,2010,https://neolook.com/archives/2011010407b.jpg
20110104c,홍근영展 / HONGGEUNYOUNG / 洪根暎 / sculpture.drawing,SECRET STAGE,solo exhibition,홍근영,miss홍,혼합재료,45×38×27cm,2010,https://neolook.com/archives/2011010402c.jpg
20110104c,홍근영展 / HONGGEUNYOUNG / 洪根暎 / sculpture.drawing,SECRET STAGE,solo exhibition,홍근영,나를 바라보는 너,혼합재료,38×32×29cm,2009,https://neolook.com/archives/2011010403c.jpg
20110104c,홍근영展 / HONGGEUNYOUNG / 洪根暎 / sculpture.drawing,SECRET STAGE,solo exhibition,홍근영,스캔들:L군과 K양,혼합재료,100×130×70cm,2010,https://neolook.com/archives/2011010405c.jpg
20110104c,홍근영展 / HONGGEUNYOUNG / 洪根暎 / sculpture.drawing,SECRET STAGE,solo exhibition,홍근영,컷 시리즈,드로잉,각 21×14cm,2010,https://neolook.com/archives/2011010406c.jpg
20110104c,홍근영展 / HONGGEUNYOUNG / 洪根暎 / sculpture.drawing,SECRET STAGE,solo exhibition,홍근영,NG여왕 시리즈,드로잉,각 21×14cm,2010,https://neolook.com/archives/2011010407c.jpg
20110104d,이종건_홍범展,I Was There,exhibition,이종건,Where It Stops,나무 플라스터,96.5×53.3×17.8cm,2008,https://neolook.com/archives/2011010403d.jpg
20110104d,이종건_홍범展,I Was There,exhibition,홍범,Unknown Circulation,종이에 은색안료,가변크기,2010,https://neolook.com/archives/2011010404d.jpg
20110104d,이종건_홍범展,I Was There,exhibition,홍범,Hide & Seek II,2채널 비디오 프로젝션 사운드 쌍방향 거울 구리관,가변크기,2011,https://neolook.com/archives/2011010406d.jpg
20110104d,이종건_홍범展,I Was There,exhibition,이종건,Bridge of Paradise,앤틱 나무 바닥재에 목판제작,152.4×289.6cm,2010,https://neolook.com/archives/2011010408d.jpg
20110104d,이종건_홍범展,I Was There,exhibition,이종건,A Slice poplar,오크 ash 베니어판 플라스터,91.4×12.7×17.8cm,2008,https://neolook.com/archives/2011010409d.jpg
20110104f,이정아_장보윤展,연상하는 이미지,exhibition,이정아,만들어진 시간 #1,C 프린트,60×100cm,2010,https://neolook.com/archives/2011010401f.jpg
20110104f,이정아_장보윤展,연상하는 이미지,exhibition,이정아,만들어진 시간-순간,C 프린트,27×160cm,2010,https://neolook.com/archives/2011010402f.jpg
20110104f,이정아_장보윤展,연상하는 이미지,exhibition,이정아,만들어진 시간-기억,C 프린트,77×150cm,2010,https://neolook.com/archives/2011010403f.jpg
20110104f,이정아_장보윤展,연상하는 이미지,exhibition,장보윤,임무-장면 1,피그먼트 프린트,45×64cm,2010,https://neolook.com/archives/2011010404f.jpg
20110104f,이정아_장보윤展,연상하는 이미지,exhibition,장보윤,임무-장면 2,피그먼트 프린트,45×64cm,2010,https://neolook.com/archives/2011010405f.jpg
