20120102b,Alchemist of Material展,재료의 연금술사,exhibition,강성훈,Wind dolphin,구리선,180×100×40cm,2010,https://neolook.com/archives/2012010202b.jpg
20120102b,Alchemist of Material展,재료의 연금술사,exhibition,박상희,공장안,아크릴채색 비닐 시트 컷팅,80×117cm,2011,https://neolook.com/archives/2012010204b.jpg
20120102b,Alchemist of Material展,재료의 연금술사,exhibition,박찬걸,Sliced Images-Ina Baue,스테인리스 스틸 전원 시스템,90×100×90cm,2011,https://neolook.com/archives/2012010205b.jpg
20120102b,Alchemist of Material展,재료의 연금술사,exhibition,황세진,동상이몽(同床異夢)2,캔버스 천 에 아크릴채색,116.8×91cm,2011,https://neolook.com/archives/2012010206b.jpg
20120103a,김경미展 / KIMKYUNGMI / 金京美 / painting,내가 있는 자리-가로수,solo exhibition,김경미,First day in Nov,캔버스에 아크릴채색 아크릴패널에 아크릴채색 2중 레이어,139×98cm,2010,https://neolook.com/archives/2012010301a.jpg
20120103a,김경미展 / KIMKYUNGMI / 金京美 / painting,내가 있는 자리-가로수,solo exhibition,김경미,21st day in Nov,캔버스에 아크릴채색 아크릴패널에 아크릴채색 2중 레이어,90×110cm,2010,https://neolook.com/archives/2012010302a.jpg
20120103a,김경미展 / KIMKYUNGMI / 金京美 / painting,내가 있는 자리-가로수,solo exhibition,김경미,Second Wednesday in Dec,캔버스에 아크릴채색 아크릴패널에 아크릴채색 2중 레이어,70×92cm,2010,https://neolook.com/archives/2012010303a.jpg
20120103a,김경미展 / KIMKYUNGMI / 金京美 / painting,내가 있는 자리-가로수,solo exhibition,김경미,The tree / sap-green,캔버스에 아크릴채색 아크릴패널에 아크릴채색 2중 레이어,128×96cm,2010,https://neolook.com/archives/2012010304a.jpg
20120103a,김경미展 / KIMKYUNGMI / 金京美 / painting,내가 있는 자리-가로수,solo exhibition,김경미,다시…Hyu2 ,캔버스에 아크릴채색 아크릴패널에 아크릴채색 2중 레이어,99×71cm,2010,https://neolook.com/archives/2012010305a.jpg
20120103a,김경미展 / KIMKYUNGMI / 金京美 / painting,내가 있는 자리-가로수,solo exhibition,김경미,너와…Hyu,캔버스에 아크릴채색 아크릴패널에 아크릴채색 2중 레이어,72×90cm,2010,https://neolook.com/archives/2012010306a.jpg
20120103a,김경미展 / KIMKYUNGMI / 金京美 / painting,내가 있는 자리-가로수,solo exhibition,김경미,08.19.Fri,캔버스에 아크릴채색 아크릴패널에 아크릴채색 2중 레이어,95×127cm,2011,https://neolook.com/archives/2012010307a.jpg
20120103b,윤미선展 / YOONMISEON / 尹美善 / mixid media,UNEASY... ,solo exhibition,윤미선,Sniffish,바느질 캔버스,116.8×91cm,2011,https://neolook.com/archives/2012010301b.jpg
20120103b,윤미선展 / YOONMISEON / 尹美善 / mixid media,UNEASY... ,solo exhibition,윤미선,Sniffish#2,바느질 캔버스,112.1×145.5cm,2011,https://neolook.com/archives/2012010302b.jpg
20120103b,윤미선展 / YOONMISEON / 尹美善 / mixid media,UNEASY... ,solo exhibition,윤미선,Untitled11-1,바느질 캔버스,50×72.7cm,2011,https://neolook.com/archives/2012010303b.jpg
20120103b,윤미선展 / YOONMISEON / 尹美善 / mixid media,UNEASY... ,solo exhibition,윤미선,Quiver,바느질 캔버스,130.3×97cm,2011,https://neolook.com/archives/2012010305b.jpg
20120103b,윤미선展 / YOONMISEON / 尹美善 / mixid media,UNEASY... ,solo exhibition,윤미선,Smile Smile!,바느질 캔버스,145.5×112.1cm,2011,https://neolook.com/archives/2012010306b.jpg
20120103b,윤미선展 / YOONMISEON / 尹美善 / mixid media,UNEASY... ,solo exhibition,윤미선,Untitled11-2,바느질 캔버스,50×72.7cm,2011,https://neolook.com/archives/2012010307b.jpg
20120103c,김민展 / KIMMINNE / 金旻 / photography,Where do we come from? Where are we? Where are we going?,solo exhibition,김민,Je ne peux plus attendre,디지털 프린트,63.2×85.2cm,2010,https://neolook.com/archives/2012010301c.jpg
20120103c,김민展 / KIMMINNE / 金旻 / photography,Where do we come from? Where are we? Where are we going?,solo exhibition,김민,My lovely gossip mamie,디지털 프린트,62.3×85.2cm,2011,https://neolook.com/archives/2012010302c.jpg
20120103c,김민展 / KIMMINNE / 金旻 / photography,Where do we come from? Where are we? Where are we going?,solo exhibition,김민,La soif,디지털 프린트,54.1×74.4cm,2011,https://neolook.com/archives/2012010303c.jpg
20120103c,김민展 / KIMMINNE / 金旻 / photography,Where do we come from? Where are we? Where are we going?,solo exhibition,김민,Sacre-coeur,디지털 프린트,48×35.7cm,2011,https://neolook.com/archives/2012010304c.jpg
20120103c,김민展 / KIMMINNE / 金旻 / photography,Where do we come from? Where are we? Where are we going?,solo exhibition,김민,Where are we,디지털 프린트,54.1×74.4cm,2011,https://neolook.com/archives/2012010305c.jpg
20120103c,김민展 / KIMMINNE / 金旻 / photography,Where do we come from? Where are we? Where are we going?,solo exhibition,김민,An unexpected Sunday,디지털 프린트,59.8×85.2cm,2011,https://neolook.com/archives/2012010306c.jpg
20120103c,김민展 / KIMMINNE / 金旻 / photography,Where do we come from? Where are we? Where are we going?,solo exhibition,김민,무색의 반투명한 연고제이다,네거티브 필름 프린트,59.8×85.2cm,2008,https://neolook.com/archives/2012010307c.jpg
20120104a,Another Voice展,또 다른 목소리,exhibition,김동욱,陳夫人 부르는 소리에 뒤돌아보다 상해 1930년대,종이에 피그먼트 잉크,110×139cm,2008 ,https://neolook.com/archives/2012010402a.jpg
20120104a,Another Voice展,또 다른 목소리,exhibition,김옥선,tamara the explorer,디지털 크로머제닉 프린트,100×125cm,2007,https://neolook.com/archives/2012010403a.jpg
20120104a,Another Voice展,또 다른 목소리,exhibition,김형섭,Nonpareil#8,종이에 피그먼트 프린트,145×110cm,2007,https://neolook.com/archives/2012010404a.jpg
20120104a,Another Voice展,또 다른 목소리,exhibition,이선민,이순자의 집1-제사,디지털 C프린트,80×80cm,2004,https://neolook.com/archives/2012010407a.jpg
20120104a,Another Voice展,또 다른 목소리,exhibition,윤정미,초록 아저씨 집 마당의 초록색 물건들 안산,라이트 젯 프린트,76×110.6cm,2011,https://neolook.com/archives/2012010409a.jpg
20120104a,Another Voice展,또 다른 목소리,exhibition,이정록,The tree of life #3-7,피그먼트 프린트,90×120cm,2011,https://neolook.com/archives/2012010411a.jpg
20120104a,Another Voice展,또 다른 목소리,exhibition,이주형,V.P. #095,피그먼트 프린트,90×150cm,2010,https://neolook.com/archives/2012010412a.jpg
20120104a,Another Voice展,또 다른 목소리,exhibition,전은선,거울 속 풍경 #5,잉크젯 프린트,60×90cm,2011,https://neolook.com/archives/2012010413a.jpg
20120104a,Another Voice展,또 다른 목소리,exhibition,윤진영,Reminiscence after death 227,디지털 C프린트,100×125cm,2010,https://neolook.com/archives/2012010414a.jpg
20120104a,Another Voice展,또 다른 목소리,exhibition,최원진,Landscape,디지털 프린트,100×180cm,2011,https://neolook.com/archives/2012010415a.jpg
20120104b,2012_0104 ▶ 2012_0110,이창조展 / LEECHANGJO / 李昌朝 / painting,other,이창조,마음속 풍경,캔버스에 유채,80×117cm,2010,https://neolook.com/archives/2012010401b.jpg
20120104b,2012_0104 ▶ 2012_0110,이창조展 / LEECHANGJO / 李昌朝 / painting,other,이창조,소나무,캔버스에 유채,97×145cm,2011,https://neolook.com/archives/2012010403b.jpg
20120104b,2012_0104 ▶ 2012_0110,이창조展 / LEECHANGJO / 李昌朝 / painting,other,이창조,몽유도,패널에 아크릴채색,60×120cm,2011,https://neolook.com/archives/2012010406b.jpg
20120104b,2012_0104 ▶ 2012_0110,이창조展 / LEECHANGJO / 李昌朝 / painting,other,이창조,바라는 것들,패널에 아크릴채색,60×120cm,2011,https://neolook.com/archives/2012010407b.jpg
20120104c,이경은展 / LEEKYOUNGEUN / 李京恩 / painting,MUTATION-돌연변이,solo exhibition,이경은,바스락거리며 걷던 여자,캔버스에 아크릴채색,162.2c×130.3m,2011,https://neolook.com/archives/2012010401c.jpg
20120104c,이경은展 / LEEKYOUNGEUN / 李京恩 / painting,MUTATION-돌연변이,solo exhibition,이경은,20살이였던 그 남자,캔버스에 아크릴채색,116.8×91cm,2011,https://neolook.com/archives/2012010402c.jpg
20120104c,이경은展 / LEEKYOUNGEUN / 李京恩 / painting,MUTATION-돌연변이,solo exhibition,이경은,함박 웃음 짓는 서울 남자,캔버스에 아크릴채색,193.9×130.3cm,2010,https://neolook.com/archives/2012010403c.jpg
20120104c,이경은展 / LEEKYOUNGEUN / 李京恩 / painting,MUTATION-돌연변이,solo exhibition,이경은,꽃미남 쳐다보는 서울 여자,캔버스에 아크릴채색,162.2×130.3cm,2010,https://neolook.com/archives/2012010404c.jpg
20120104c,이경은展 / LEEKYOUNGEUN / 李京恩 / painting,MUTATION-돌연변이,solo exhibition,이경은,리본 귀걸이를 한 소녀,캔버스에 아크릴채색,193.9×130.3cm,2011,https://neolook.com/archives/2012010405c.jpg
20120104c,이경은展 / LEEKYOUNGEUN / 李京恩 / painting,MUTATION-돌연변이,solo exhibition,이경은,무서운 초딩,캔버스에 아크릴채색,116.8×72.7cm,2011,https://neolook.com/archives/2012010406c.jpg
20120104c,이경은展 / LEEKYOUNGEUN / 李京恩 / painting,MUTATION-돌연변이,solo exhibition,이경은,아이컨텍,캔버스에 아크릴채색,162.2×130.3cm,2011,https://neolook.com/archives/2012010407c.jpg
20120104e,이만나展 / LEEMANNA / 李만나 / painting,The Wayside,solo exhibition,이만나,잔설,캔버스에 유채,145×200cm,2011,https://neolook.com/archives/2012010401e.jpg
20120104e,이만나展 / LEEMANNA / 李만나 / painting,The Wayside,solo exhibition,이만나,작은 숲이 있는 길,캔버스에 유채,91×351cm,2011,https://neolook.com/archives/2012010402e.jpg
20120104e,이만나展 / LEEMANNA / 李만나 / painting,The Wayside,solo exhibition,이만나,봄밤,캔버스에 유채,41×102cm,2011,https://neolook.com/archives/2012010403e.jpg
20120104e,이만나展 / LEEMANNA / 李만나 / painting,The Wayside,solo exhibition,이만나,정원,캔버스에 유채,80×65cm,2011,https://neolook.com/archives/2012010404e.jpg
20120104e,이만나展 / LEEMANNA / 李만나 / painting,The Wayside,solo exhibition,이만나,깊이 없는 풍경,종이에 아크릴채색 파스텔,38×58cm 38×53cm 38×58cm,2006,https://neolook.com/archives/2012010405e.jpg
20120104e,이만나展 / LEEMANNA / 李만나 / painting,The Wayside,solo exhibition,이만나,모퉁이,캔버스에 유채,50×65cm,2011,https://neolook.com/archives/2012010406e.jpg
20120104f,제프 그랜트展 / Jeff Grant / installation,ETIOLATED CREATION,solo exhibition,제프 그랜트,Bosch 58. The Creation,Collage: sandpaper and book page on paper,26.6×18cm,2011,https://neolook.com/archives/2012010401f.jpg
20120104f,제프 그랜트展 / Jeff Grant / installation,ETIOLATED CREATION,solo exhibition,제프 그랜트,Black cast (left full piece right detail),Nylon cord metal ring nails,Size variable,2011,https://neolook.com/archives/2012010402f.jpg
20120104f,제프 그랜트展 / Jeff Grant / installation,ETIOLATED CREATION,solo exhibition,제프 그랜트,Gray bodies over green curves,Graphite and colored pencil on paper,41×29.2cm,2011,https://neolook.com/archives/2012010403f.jpg
20120104f,제프 그랜트展 / Jeff Grant / installation,ETIOLATED CREATION,solo exhibition,제프 그랜트,Gray and yellow bodies set,Graphite and colored pencil on paper,41×29.2cm,2011,https://neolook.com/archives/2012010404f.jpg
20120104f,제프 그랜트展 / Jeff Grant / installation,ETIOLATED CREATION,solo exhibition,제프 그랜트,Point drape,Wire metal and rubber,5.8×79×6cm,2011,https://neolook.com/archives/2012010405f.jpg
20120104f,제프 그랜트展 / Jeff Grant / installation,ETIOLATED CREATION,solo exhibition,제프 그랜트,Clipped line,Wire nails clips and tape,71×28.6cm,2011,https://neolook.com/archives/2012010406f.jpg
20120104f,제프 그랜트展 / Jeff Grant / installation,ETIOLATED CREATION,solo exhibition,제프 그랜트,Creation under black,Collage: sandpaper and book page on paper,26.6×18cm,2011,https://neolook.com/archives/2012010407f.jpg
20120104g,2012_0104 ▶ 2012_0110,2부 하얀 정글,other,김명희,Butterfly yellow on Black,C 프린트,130×158cm,2009,https://neolook.com/archives/2012010401g.jpg
20120104g,2012_0104 ▶ 2012_0110,2부 하얀 정글,other,이영희,infinite dream,캔버스에 유채,135×135cm,2011,https://neolook.com/archives/2012010402g.jpg
20120104g,2012_0104 ▶ 2012_0110,2부 하얀 정글,other,박광자,PARTITA,캔버스에 아크릴채색,30×30cm×12,2010,https://neolook.com/archives/2012010404g.jpg
20120104g,2012_0104 ▶ 2012_0110,2부 하얀 정글,other,정지원,사방치기1,아크릴채색 혼합재료,52.4×52.4cm,2011,https://neolook.com/archives/2012010405g.jpg
20120104g,2012_0104 ▶ 2012_0110,2부 하얀 정글,other,최재형,untitle,순지에 혼합재료,100호,2011,https://neolook.com/archives/2012010406g.jpg
20120104g,2012_0104 ▶ 2012_0110,2부 하얀 정글,other,그래피가가,너에게 나를 보낸다,캔버스에 아크릴채색 펜,116×90cm,2011,https://neolook.com/archives/2012010407g.jpg
20120104g,2012_0104 ▶ 2012_0110,2부 하얀 정글,other,안지현,dream of dream,아크릴채색 펜 잉크,33.4×53cm,2011,https://neolook.com/archives/2012010408g.jpg
20120104g,2012_0104 ▶ 2012_0110,2부 하얀 정글,other,최시평,대머리1호,장지에 채색,116×91cm,2011,https://neolook.com/archives/2012010409g.jpg
