20180101c,월간미술 2018년 1월호,전국 미술대학 졸업작품 100*** 이것이 한국미술의 미래다,other,이우성,윤중이와 커피를 마시다가,천에 아크릴채색 과슈 젯소,210×210cm,2017,https://neolook.com/archives/2018010101c.jpg
20180102d,파랑展 / PARANG / painting,파랑 연구 A study in	Parang,solo exhibition,파랑,검은 강물속,캔버스에 유채,100×100cm,2017,https://neolook.com/archives/2018010201d.jpg
20180102d,파랑展 / PARANG / painting,파랑 연구 A study in	Parang,solo exhibition,파랑,강가의 늑대와 소년,캔버스에 유채,91×117cm,2017,https://neolook.com/archives/2018010202d.jpg
20180102d,파랑展 / PARANG / painting,파랑 연구 A study in	Parang,solo exhibition,파랑,그녀,캔버스에 유채,90×59.5cm,2014,https://neolook.com/archives/2018010203d.jpg
20180102d,파랑展 / PARANG / painting,파랑 연구 A study in	Parang,solo exhibition,파랑,돌아와 내 야윈 가슴을 맛있게 쪼아먹어라,캔버스에 유채,162×260cm,2016,https://neolook.com/archives/2018010204d.jpg
20180102d,파랑展 / PARANG / painting,파랑 연구 A study in	Parang,solo exhibition,파랑,Hunt,캔버스에 유채,162×130cm,2017,https://neolook.com/archives/2018010205d.jpg
20180102d,파랑展 / PARANG / painting,파랑 연구 A study in	Parang,solo exhibition,파랑,휴식,캔버스에 유채,72×91cm,2017,https://neolook.com/archives/2018010206d.jpg
20180102d,파랑展 / PARANG / painting,파랑 연구 A study in	Parang,solo exhibition,파랑,5 월의 어느날(뉴질랜드),캔버스에 유채,91×117cm,2017,https://neolook.com/archives/2018010207d.jpg
20180102e,안소현展 / AHNSOHYUN / 安昭炫 / painting,안온한 시간들,solo exhibition,안소현,화분의 방,캔버스에 아크릴채색,60.6×90.9cm,2017,https://neolook.com/archives/2018010201e.jpg
20180102e,안소현展 / AHNSOHYUN / 安昭炫 / painting,안온한 시간들,solo exhibition,안소현,기다림,캔버스에 아크릴채색,72.7×116.8cm,2016,https://neolook.com/archives/2018010202e.jpg
20180102e,안소현展 / AHNSOHYUN / 安昭炫 / painting,안온한 시간들,solo exhibition,안소현,lunch,캔버스에 아크릴채색,72.7×100cm,2017,https://neolook.com/archives/2018010203e.jpg
20180102e,안소현展 / AHNSOHYUN / 安昭炫 / painting,안온한 시간들,solo exhibition,안소현,두 의자,캔버스에 아크릴채색,80.3×116.8cm,2017,https://neolook.com/archives/2018010204e.jpg
20180102e,안소현展 / AHNSOHYUN / 安昭炫 / painting,안온한 시간들,solo exhibition,안소현,오후의 셔츠,캔버스에 아크릴채색,90.9×72.7cm,2016,https://neolook.com/archives/2018010205e.jpg
20180102e,안소현展 / AHNSOHYUN / 安昭炫 / painting,안온한 시간들,solo exhibition,안소현,식물원,캔버스에 아크릴채색,193.9×260.6cm,2017,https://neolook.com/archives/2018010206e.jpg
20180102e,안소현展 / AHNSOHYUN / 安昭炫 / painting,안온한 시간들,solo exhibition,안소현,TABLE,캔버스에 아크릴채색,130.3×193.9cm,2017,https://neolook.com/archives/2018010207e.jpg
20180102e,안소현展 / AHNSOHYUN / 安昭炫 / painting,안온한 시간들,solo exhibition,안소현,휴식,캔버스에 아크릴채색,72.7×100cm,2017,https://neolook.com/archives/2018010208e.jpg
20180102e,안소현展 / AHNSOHYUN / 安昭炫 / painting,안온한 시간들,solo exhibition,안소현,휴식,캔버스에 아크릴채색,100×72.7cm,2017,https://neolook.com/archives/2018010209e.jpg
20180102e,안소현展 / AHNSOHYUN / 安昭炫 / painting,안온한 시간들,solo exhibition,안소현,향초,캔버스에 아크릴채색,53×53cm,2017,https://neolook.com/archives/2018010210e.jpg
20180102f,김지은展 / KIMJIEUN / 金志殷 / drawing.photography,마른 정물 Dried still objects ,solo exhibition,김지은,당근,아카이벌 피그먼트 프린트,60×60cm,2015,https://neolook.com/archives/2018010201f.jpg
20180102f,김지은展 / KIMJIEUN / 金志殷 / drawing.photography,마른 정물 Dried still objects ,solo exhibition,김지은,노란 고구마,아카이벌 피그먼트 프린트,60×60cm,2015,https://neolook.com/archives/2018010202f.jpg
20180102f,김지은展 / KIMJIEUN / 金志殷 / drawing.photography,마른 정물 Dried still objects ,solo exhibition,김지은,마른정물,아카이벌 피그먼트 프린트,30×120cm,2015,https://neolook.com/archives/2018010203f.jpg
20180102f,김지은展 / KIMJIEUN / 金志殷 / drawing.photography,마른 정물 Dried still objects ,solo exhibition,김지은,사물일지 1 2,종이에 연필,42×29.7cm×2,2017,https://neolook.com/archives/2018010204f.jpg
20180102f,김지은展 / KIMJIEUN / 金志殷 / drawing.photography,마른 정물 Dried still objects ,solo exhibition,김지은,사물일지 1314151617,종이에 목탄,76×56cm×5,2017,https://neolook.com/archives/2018010205f.jpg
20180102f,김지은展 / KIMJIEUN / 金志殷 / drawing.photography,마른 정물 Dried still objects ,solo exhibition,김지은,책상,캔버스에 목탄 파스텔 아크릴 채색,72×72cm,2017,https://neolook.com/archives/2018010206f.jpg
20180102f,김지은展 / KIMJIEUN / 金志殷 / drawing.photography,마른 정물 Dried still objects ,solo exhibition,김지은,작업실 1,리넨에 목탄 파스텔 아크릴 채색,72×72cm,2017,https://neolook.com/archives/2018010207f.jpg
20180102f,김지은展 / KIMJIEUN / 金志殷 / drawing.photography,마른 정물 Dried still objects ,solo exhibition,김지은,작업실 2,리넨에 목탄 파스텔 아크릴 채색,72×72cm,2017,https://neolook.com/archives/2018010208f.jpg
20180102f,김지은展 / KIMJIEUN / 金志殷 / drawing.photography,마른 정물 Dried still objects ,solo exhibition,김지은,작업실 3,리넨에 목탄 파스텔 아크릴 채색,72×72cm,2017,https://neolook.com/archives/2018010209f.jpg
20180102g,정하눅展 / JUNGHANUK / 鄭桓旭 / painting,Colorscape,solo exhibition,정하눅,Colorscape#9,종이에 유채,30×21cm,2017 ,https://neolook.com/archives/2018010201g.jpg
20180102g,정하눅展 / JUNGHANUK / 鄭桓旭 / painting,Colorscape,solo exhibition,정하눅,Colorscape#8,종이에 유채,30×17cm,2017,https://neolook.com/archives/2018010202g.jpg
20180102h,FRACTAL展,프랙탈,exhibition,이중근,Gold Diamond,사진 CG 디지털 프린트,125×125cm,2013,https://neolook.com/archives/2018010202h.jpg
20180102h,FRACTAL展,프랙탈,exhibition,김시연,Yellowish,디지털 프린트,70×50cm,2012,https://neolook.com/archives/2018010203h.jpg
20180102h,FRACTAL展,프랙탈,exhibition,김시연,Yellowish,디지털 프린트,50×70cm,2012,https://neolook.com/archives/2018010204h.jpg
20180102h,FRACTAL展,프랙탈,exhibition,김유정,세력도감,피그먼트 프린트,70×70cm,2017,https://neolook.com/archives/2018010206h.jpg
20180102h,FRACTAL展,프랙탈,exhibition,이기본,21313,아카이벌 피그먼트 프린트,90×90cm,2013,https://neolook.com/archives/2018010207h.jpg
20180102h,FRACTAL展,프랙탈,exhibition,이수현,Dearth and Crystallization,캔버스에 아크릴채색,45×45cm,2017,https://neolook.com/archives/2018010208h.jpg
20180103a,허정展 / HUHJUNG / 許정 / painting,jig,solo exhibition,허정,Jig Ⅰ,캔버스에 아크릴채색,112.1×193.9cm,2017,https://neolook.com/archives/2018010301a.jpg
20180103a,허정展 / HUHJUNG / 許정 / painting,jig,solo exhibition,허정,Jig Ⅱ,캔버스에 아크릴채색,112.1×193.9cm,2017,https://neolook.com/archives/2018010302a.jpg
20180103a,허정展 / HUHJUNG / 許정 / painting,jig,solo exhibition,허정,Omnipresnt VI,캔버스에 아크릴채색,130.2×162.9cm,2017,https://neolook.com/archives/2018010303a.jpg
20180103a,허정展 / HUHJUNG / 許정 / painting,jig,solo exhibition,허정,Omnipresnt Ⅰ,캔버스에 아크릴채색,130.3×193.9cm,2017,https://neolook.com/archives/2018010304a.jpg
20180103a,허정展 / HUHJUNG / 許정 / painting,jig,solo exhibition,허정,Omnipresnt Ⅶ,캔버스에 아크릴채색,224.4×224.4cm,2017,https://neolook.com/archives/2018010305a.jpg
20180103a,허정展 / HUHJUNG / 許정 / painting,jig,solo exhibition,허정,Omnipresnt Ⅳ,캔버스에 아크릴채색,130.3×193.9cm,2017,https://neolook.com/archives/2018010306a.jpg
20180103a,허정展 / HUHJUNG / 許정 / painting,jig,solo exhibition,허정,Omnipresnt Ⅴ,캔버스에 아크릴채색,130.3×193.9cm,2017,https://neolook.com/archives/2018010307a.jpg
20180103a,허정展 / HUHJUNG / 許정 / painting,jig,solo exhibition,허정,Omnipresnt Ⅲ,캔버스에 아크릴채색,130.3×193.9cm,2017,https://neolook.com/archives/2018010308a.jpg
20180103a,허정展 / HUHJUNG / 許정 / painting,jig,solo exhibition,허정,Omnipresnt Ⅱ,캔버스에 아크릴채색,130.3×193.9cm,2017,https://neolook.com/archives/2018010309a.jpg
20180103a,허정展 / HUHJUNG / 許정 / painting,jig,solo exhibition,허정,The Parameters Line Ⅱ,캔버스에 아크릴채색,112.1×193.9cm,2017,https://neolook.com/archives/2018010310a.jpg
20180103c,새해맞이 그림선물 축제-2018 세화展,당신을 위한 새해인사,exhibition,오수지,복 福,비단에 채색,50×50cm,2017,https://neolook.com/archives/2018010302c.jpg
20180103c,새해맞이 그림선물 축제-2018 세화展,당신을 위한 새해인사,exhibition,박은경,Manners Vitamin,비단에 석채,50×50cm,2017,https://neolook.com/archives/2018010303c.jpg
20180103c,새해맞이 그림선물 축제-2018 세화展,당신을 위한 새해인사,exhibition,박경화,Dear Magritte–I,비단에 석채,50×50cm,2017,https://neolook.com/archives/2018010304c.jpg
20180103c,새해맞이 그림선물 축제-2018 세화展,당신을 위한 새해인사,exhibition,김경아,선물,비단에 석채,50×50cm,2017,https://neolook.com/archives/2018010305c.jpg
20180103c,새해맞이 그림선물 축제-2018 세화展,당신을 위한 새해인사,exhibition,유현정,부부 夫婦 Couple,비단에 석채,50×50cm,2017,https://neolook.com/archives/2018010306c.jpg
20180103c,새해맞이 그림선물 축제-2018 세화展,당신을 위한 새해인사,exhibition,한지현,Bird of Spring,비단에 석채,50×50cm,2017,https://neolook.com/archives/2018010307c.jpg
20180103c,새해맞이 그림선물 축제-2018 세화展,당신을 위한 새해인사,exhibition,강리교,비긴 어게인 Begin Again,비단에 석채,50×50cm,2017,https://neolook.com/archives/2018010308c.jpg
20180103c,새해맞이 그림선물 축제-2018 세화展,당신을 위한 새해인사,exhibition,이언자,고맙다 장군아!,비단에 석채,50×50cm,2017,https://neolook.com/archives/2018010309c.jpg
20180103c,새해맞이 그림선물 축제-2018 세화展,당신을 위한 새해인사,exhibition,남민규,꽃속에서 킁킁,장지에 석채,50×50cm,2017,https://neolook.com/archives/2018010310c.jpg
20180103c,새해맞이 그림선물 축제-2018 세화展,당신을 위한 새해인사,exhibition,여귀애,우리 행복하자 1,비단에 석채,50×50cm,2017,https://neolook.com/archives/2018010311c.jpg
20180103c,새해맞이 그림선물 축제-2018 세화展,당신을 위한 새해인사,exhibition,장경희,욕망의 트렁크(女),비단에 석채,50×50cm,2017,https://neolook.com/archives/2018010312c.jpg
20180104b,이재명展 / LEEJAEMYUNG / 李在明 / painting,가장자리 The Edge,solo exhibition,이재명,극장,캔버스에 유채,162×227.3cm,2017,https://neolook.com/archives/2018010401b.jpg
20180104b,이재명展 / LEEJAEMYUNG / 李在明 / painting,가장자리 The Edge,solo exhibition,이재명,무거운 간격,캔버스에 유채,162.2×97cm,2017,https://neolook.com/archives/2018010402b.jpg
20180104b,이재명展 / LEEJAEMYUNG / 李在明 / painting,가장자리 The Edge,solo exhibition,이재명,내려다 본 지붕(파랑),캔버스에 유채,112×145.5cm,2017,https://neolook.com/archives/2018010403b.jpg
20180104b,이재명展 / LEEJAEMYUNG / 李在明 / painting,가장자리 The Edge,solo exhibition,이재명,에메랄드빛 창문들,캔버스에 유채,162.2×97cm,2017,https://neolook.com/archives/2018010404b.jpg
20180104b,이재명展 / LEEJAEMYUNG / 李在明 / painting,가장자리 The Edge,solo exhibition,이재명,어려운 나무,캔버스에 유채,193.9×130.5cm,2017,https://neolook.com/archives/2018010405b.jpg
20180104b,이재명展 / LEEJAEMYUNG / 李在明 / painting,가장자리 The Edge,solo exhibition,이재명,초저녁의 주유소,캔버스에 유채,89.5×145.5cm,2017,https://neolook.com/archives/2018010406b.jpg
20180104c,무술년 신년기획展,동고동락; 네가 나를 부를 때,exhibition,곽수연,당구풍월 堂拘風月,장지에 채색,122×182cm,2008,https://neolook.com/archives/2018010402c.jpg
20180104c,무술년 신년기획展,동고동락; 네가 나를 부를 때,exhibition,김동아,치유,한지에 수묵채색 목탄,122×122cm,2014,https://neolook.com/archives/2018010403c.jpg
20180104c,무술년 신년기획展,동고동락; 네가 나를 부를 때,exhibition,김희상,개합,점토 가마소성,16×10×10cm,2017,https://neolook.com/archives/2018010404c.jpg
20180104c,무술년 신년기획展,동고동락; 네가 나를 부를 때,exhibition,박수만,단골,캔버스에 유채 아크릴채색,73×61cm,2017,https://neolook.com/archives/2018010405c.jpg
20180104c,무술년 신년기획展,동고동락; 네가 나를 부를 때,exhibition,배수민,기다림1,ABS 필름 PVC 필름 커팅,100×70cm,2017,https://neolook.com/archives/2018010406c.jpg
20180104c,무술년 신년기획展,동고동락; 네가 나를 부를 때,exhibition,송영학,빨간 망토2,비단에 수간채색,34.8×27.3cm,2017,https://neolook.com/archives/2018010407c.jpg
20180104c,무술년 신년기획展,동고동락; 네가 나를 부를 때,exhibition,양재영,12지신-SNOOPY,합판 페인트,40×30cm,2017,https://neolook.com/archives/2018010408c.jpg
20180104c,무술년 신년기획展,동고동락; 네가 나를 부를 때,exhibition,오혜경,쏟아진다,혼합재료,26.5×27×27cm,2017,https://neolook.com/archives/2018010409c.jpg
20180104c,무술년 신년기획展,동고동락; 네가 나를 부를 때,exhibition,이두환,eve,장지에 채색,25×25cm,2017,https://neolook.com/archives/2018010410c.jpg
20180104c,무술년 신년기획展,동고동락; 네가 나를 부를 때,exhibition,전현숙,비는 그쳤고 눈부신 별들이 가득했다,캔버스에 아크릴채색,130.3×194cm,2008,https://neolook.com/archives/2018010411c.jpg
20180104c,무술년 신년기획展,동고동락; 네가 나를 부를 때,exhibition,조광석,관조,편백나무,30×120×30cm,2017,https://neolook.com/archives/2018010412c.jpg
20180104c,무술년 신년기획展,동고동락; 네가 나를 부를 때,exhibition,주후식,Jindo Dog,테라코타 소성 점토 흑색 점토 백토,36×21×56cm,2017,https://neolook.com/archives/2018010413c.jpg
20180104c,무술년 신년기획展,동고동락; 네가 나를 부를 때,exhibition,하루.K,해피는 새해 꿈꾼다,한지에 수묵채색,91×72cm,2017,https://neolook.com/archives/2018010414c.jpg
20180104d,최화정展 / CHOIHWAJUNG / 崔化禎 / painting,그리움,solo exhibition,최화정,만남,한지에 수묵담채,40×31cm,2017 ,https://neolook.com/archives/2018010401d.jpg
20180104d,최화정展 / CHOIHWAJUNG / 崔化禎 / painting,그리움,solo exhibition,최화정,기다림,한지에 수묵,79×109cm,2016,https://neolook.com/archives/2018010402d.jpg
